"","facility_id","common_name","address","zip_code","owned_leased","dept_id_for_jurisdiction","jurisdiction","gross_sq_ft","longitude","latitude","geom"
"16",3290,"Bowley St/Lincoln Blvd SFMTA Operator Restroom","Bowley St/Lincold Blvd",94129,"Own",42,"Municipal Transportation Agency",75,-122.481327372,37.792030717,"POINT (-122.48132737200001 37.79203071699999)"
"17",3019,"SWL 302 - Port Harbor Office","Pier 47",94133,"Own",46,"Port",760,-122.419,37.8085,"POINT (-122.41899999999998 37.80849999999998)"
"18",1200,"Ocean View Branch Library","345 Randolph St",94132,"Own",48,"Public Library",4794,-122.465970826,37.714137767,"POINT (-122.46597082599999 37.71413776700001)"
"19",3035,"SWL 302 Costal Marine Retail Space","398 Jefferson St",94133,"Own",46,"Port",3640,-122.418954114,37.807981199,"POINT (-122.41895411399997 37.80798119899998)"
"20",1985,"Pier 70 - Pier 68 - Substation #4 (bldg #58)","590 20TH ST",94107,"Own",46,"Port",820,-122.385952312,37.762030099,"POINT (-122.38595231199997 37.762030099000015)"
"21",1999,"Pier 70 - SWL 349 - Brass Foundry, Bldg. #115","420 22nd St",94107,"Own",46,"Port",17400,-122.38300092,37.760392021,"POINT (-122.38300091999997 37.76039202099997)"
"22",1325,"Portsmouth Square Parking Garage","733 Kearny St",94111,"Own",42,"Municipal Transportation Agency",222984,-122.405034379,37.794655248,"POINT (-122.40503437900003 37.794655248000026)"
"23",1596,"Silver Avenue Family Health Center","1525 Silver Ave",94134,"Own",72,"Public Health",22950,-122.406435881,37.732381645,"POINT (-122.406435881 37.732381644999975)"
"24",1971,"Pier 70 - Pier 68 - Equipment Building #36","590 20TH ST",94107,"Own",46,"Port",12050,-122.385952312,37.762030099,"POINT (-122.38595231199997 37.762030099000015)"
"25",1670,"Strybing Storage Shed","1199 09th Ave",94117,"Own",49,"Recreation And Parks",323,-122.4725295,37.7674776,"POINT (-122.47252950000001 37.76747760000001)"
"26",697,"Fire Station #15","1000 Ocean Ave",94112,"Own",38,"Fire Department",12138,-122.452926629,37.723488631,"POINT (-122.45292662899999 37.72348863100001)"
"27",754,"Francis Scott Key Elementary","1530 43rd Ave",94122,"Own",16,"School District (Sfusd)",52000,-122.501999531,37.758097706,"POINT (-122.50199953100002 37.758097706)"
"28",2047,"Library Support Services","190 09th St",94103,"Own",48,"Public Library",43182,-122.413692223,37.775011974,"POINT (-122.413692223 37.775011973999995)"
"29",3327,"49 South Van Ness Ave Building","49 South Van Ness Ave",94103,"Own",63,"Gsa - Real Estate Division",564045,-122.418572841,37.773797866,"POINT (-122.41857284100001 37.773797865999995)"
"30",881,"1650 Mission St Building","1650 Mission St",94103,"Own",63,"Gsa - Real Estate Division",218538,-122.419563153,37.771740544,"POINT (-122.41956315300001 37.77174054400001)"
"31",1223,"Palega Recreation Center","500 Felton St",94134,"Own",49,"Recreation And Parks",16978,-122.409679988,37.729084301,"POINT (-122.409679988 37.729084301)"
"32",932,"Japanese Teahouse","75 Hagiwara Tea Garden Dr",94117,"Own",49,"Recreation And Parks",2000,-122.470420349,37.769947808,"POINT (-122.470420349 37.76994780799998)"
"33",1347,"Wholesale Produce Market - Public Dock 1 Middle","2095 Jerrold Ave",94124,"Own",63,"Gsa - Real Estate Division",2600,-122.397960994,37.743629117,"POINT (-122.39796099400002 37.74362911700001)"
"34",1184,"Noe Valley Branch Library","451 Jersey St",94114,"Own",48,"Public Library",6096,-122.435090242,37.750228042,"POINT (-122.435090242 37.750228042)"
"35",1982,"Pier 70 - Pier 68 - Sheet Metal/Tools Bldg #109","590 20TH ST",94107,"Own",46,"Port",82099,-122.385952312,37.762030099,"POINT (-122.38595231199997 37.762030099000015)"
"36",2004,"Pier 70 - SWL 349 Equipment Bldg - Bldg #14","420 22nd St",94107,"Own",46,"Port",15969,-122.38300092,37.760392021,"POINT (-122.38300091999997 37.76039202099997)"
"37",685,"Fire Chief's Residence","870 Bush St",94108,"Own",38,"Fire Department",4500,-122.411592179,37.789999241,"POINT (-122.41159217900002 37.789999240999975)"
